date,weekday,source_of_truth,gcatholic_celebration_name,romcal_celebration_name,validation_reason,review_notes
2023-02-14,Tuesday,"Saints Cyril, monk, and Methodius, bishop",null,Cyril The Philosopher Monk And Methodius Of Thessaloniki Bishop,"Source of truth: Saints Cyril, monk, and Methodius, bishop; GCatholic: missing; Romcal: Cyril The Philosopher Monk And Methodius Of Thessaloniki Bishop.",Source of truth did not match GCatholic or Romcal; needs human review.
2023-02-17,Friday,Friday of the 6th Week in Ordinary Time,null,Seven Holy Founders Of The Servite Order,Source of truth: Friday of the 6th Week in Ordinary Time; GCatholic: missing; Romcal: Seven Holy Founders Of The Servite Order.,Source of truth did not match GCatholic or Romcal; needs human review.
2023-02-20,Monday,Monday of the 7th Week in Ordinary Time,null,Ordinary Time 6 Monday,Source of truth: Monday of the 7th Week in Ordinary Time; GCatholic: missing; Romcal: Ordinary Time 6 Monday.,Source of truth did not match GCatholic or Romcal; needs human review.
2023-02-21,Tuesday,Tuesday of the 7th Week in Ordinary Time,null,Peter Damian Bishop,Source of truth: Tuesday of the 7th Week in Ordinary Time; GCatholic: missing; Romcal: Peter Damian Bishop.,Source of truth did not match GCatholic or Romcal; needs human review.
2023-04-07,Friday,"Saint John Baptist de la Salle, priest",null,Good Friday,"Source of truth: Saint John Baptist de la Salle, priest; GCatholic: missing; Romcal: Good Friday.",Source of truth did not match GCatholic or Romcal; needs human review.
2023-04-21,Friday,Friday of the 2nd Week of Easter,null,Anselm Of Canterbury Bishop,Source of truth: Friday of the 2nd Week of Easter; GCatholic: missing; Romcal: Anselm Of Canterbury Bishop.,Source of truth did not match GCatholic or Romcal; needs human review.
2023-04-24,Monday,Monday of the 3rd Week of Easter,null,Fidelis Of Sigmaringen Priest,Source of truth: Monday of the 3rd Week of Easter; GCatholic: missing; Romcal: Fidelis Of Sigmaringen Priest.,Source of truth did not match GCatholic or Romcal; needs human review.
2023-04-28,Friday,Friday of the 3rd Week of Easter,null,Peter Chanel Priest,Source of truth: Friday of the 3rd Week of Easter; GCatholic: missing; Romcal: Peter Chanel Priest.,Source of truth did not match GCatholic or Romcal; needs human review.
2023-05-01,Monday,Monday of the 4th Week of Easter,null,Joseph The Worker,Source of truth: Monday of the 4th Week of Easter; GCatholic: missing; Romcal: Joseph The Worker.,Source of truth did not match GCatholic or Romcal; needs human review.
2023-05-02,Tuesday,"Saint Athanasius, bishop and doctor",null,Athanasius Of Alexandria Bishop,"Source of truth: Saint Athanasius, bishop and doctor; GCatholic: missing; Romcal: Athanasius Of Alexandria Bishop.",Source of truth did not match GCatholic or Romcal; needs human review.
